Date,Open,High,Low,Close,Volume
2021-09-30,17718.9,17742.15,17585.35,17618.15,378592721
2021-10-01,17531.9,17557.15,17452.9,17532.05,305763919
2021-10-04,17615.55,17750.9,17581.35,17691.25,295761839
2021-10-05,17661.35,17833.45,17640.9,17822.3,427000191
2021-10-06,17861.5,17884.6,17613.15,17646,395833550
2021-10-07,17810.55,17857.55,17763.8,17790.35,419890959
2021-10-08,17886.85,17941.85,17840.35,17895.2,324066351
2021-10-11,17867.55,18041.95,17839.1,17945.95,375756457
2021-10-12,17915.8,18008.65,17864.95,17991.95,355568313
2021-10-13,18097.85,18197.8,18050.75,18161.75,506679748
2021-10-14,18272.85,18350.75,18248.7,18338.55,538714440
2021-10-18,18500.1,18543.15,18445.3,18477.05,469883515
2021-10-19,18602.35,18604.45,18377.7,18418.75,368230309
2021-10-20,18439.9,18458.3,18209.35,18266.6,371276478
2021-10-21,18382.7,18384.2,18048,18178.1,365902008
2021-10-22,18230.7,18314.25,18034.35,18114.9,324748084
2021-10-25,18229.5,18241.4,17968.5,18125.4,418703647
2021-10-26,18154.5,18310.45,18099.3,18268.4,341377869
2021-10-27,18295.85,18342.05,18167.9,18210.95,335248487
2021-10-28,18187.65,18190.7,17799.45,17857.25,374205784
2021-10-29,17833.05,17915.85,17613.1,17671.65,336466864
2021-11-01,17783.15,17954.1,17697.1,17929.65,281190130
2021-11-02,17970.9,18012.25,17847.6,17888.95,296441997
2021-11-03,17947.95,17988.75,17757.95,17829.2,330995982
2021-11-04,17935.05,17947.55,17900.6,17916.8,48515006
2021-11-08,18040.2,18087.8,17836.1,18068.55,338919483
2021-11-09,18084.35,18112.6,17983.05,18044.25,270197527
2021-11-10,17973.45,18061.25,17915,18017.2,261446523
2021-11-11,17967.45,17971.35,17798.2,17873.6,232121151
2021-11-12,17977.6,18123,17905.9,18102.75,249111898
2021-11-15,18140.95,18210.15,18071.3,18109.45,280428633
2021-11-16,18127.05,18132.65,17958.8,17999.2,267431829
2021-11-17,17939.35,18022.65,17879.25,17898.65,295715938
2021-11-18,17890.55,17945.6,17688.5,17764.8,278425148
2021-11-22,17796.25,17805.25,17280.45,17416.55,356400425
2021-11-23,17281.75,17553.7,17216.1,17503.35,308843255
2021-11-24,17550.05,17600.6,17354,17415.05,298052158
2021-11-25,17417.3,17564.35,17351.7,17536.25,255947032
2021-11-26,17338.75,17355.4,16985.7,17026.45,356330009
2021-11-29,17055.8,17160.7,16782.4,17053.95,348888750
2021-11-30,17051.15,17324.65,16931.4,16983.2,497999836
2021-12-01,17104.4,17213.05,17064.25,17166.9,295542125
2021-12-02,17183.2,17420.35,17149.3,17401.65,279867500
2021-12-03,17424.9,17489.8,17180.8,17196.7,292526485
2021-12-06,17209.05,17216.75,16891.7,16912.25,231716681
2021-12-07,17044.1,17251.65,16987.75,17176.7,254144221
2021-12-08,17315.25,17484.6,17308.95,17469.75,257791948
2021-12-09,17524.4,17543.25,17379.6,17516.85,237170272
2021-12-10,17476.05,17534.35,17405.25,17511.3,204467484
2021-12-13,17619.1,17639.5,17355.95,17368.25,256560534
2021-12-14,17283.2,17376.2,17225.8,17324.9,270965586
2021-12-15,17323.65,17351.2,17192.2,17221.4,214972109
2021-12-16,17373,17379.35,17184.95,17248.4,219496063
2021-12-17,17276,17298.15,16966.45,16985.2,354591366
2021-12-20,16824.25,16840.1,16410.2,16614.2,330614079
2021-12-21,16773.15,16936.4,16688.25,16770.85,241030834
2021-12-22,16865.55,16971,16819.5,16955.45,207946105
2021-12-23,17066.8,17118.65,17015.55,17072.6,196965302
2021-12-24,17149.5,17155.6,16909.6,17003.75,182564833
2021-12-27,16937.75,17112.05,16833.2,17086.25,144777457
2021-12-28,17177.6,17250.25,17161.15,17233.25,176026100
2021-12-29,17220.1,17285.95,17176.65,17213.6,161679423
